English,CEFR,gender,word,wordAudio,definition,sentenceAudio,example,sentenceTranslation,oldSentenceToBeDeleted
"story, plot",B2,die,Story,,kurze Erzählung in moderner Form,,"Die Story des Films war spannend, aber nicht realistisch.",The story of the film was exciting but not realistic.,
chair,A1,der,Stuhl,,Möbel zum Sitzen,,Der Stuhl ist alt.,The chair is old.,
hour,A1,die,Stunde,,sechzig Minuten,,Die Stunde ist lang.,The hour is long.,
hourly,B2,adjective,stündlich,,jede Stunde vorkommend,,Das Museum bietet stündlich Führungen an.,The museum offers guided tours every hour.,
look for,A1,verb,suchen,,etwas suchen,,Ich suche den Schlüssel.,I am looking for the key.,
symbol,B2,das,Symbol,,Zeichen mit übertragener Bedeutung,,Die weiße Taube ist ein Symbol des Friedens.,The white dove is a symbol of peace.,
brave,B2,adjective,tapfer,,ohne Angst im Kampf handelnd,,Er blieb auch in Gefahr tapfer.,He remained brave even in danger.,
bravery,B2,die,Tapferkeit,,Eigenschaft von Mut,,Ihre Tapferkeit wurde von allen bewundert.,Her bravery was admired by everyone.,
fact,B1,die,Tatsache,,"etwas, das wirklich so ist",,"Die Tatsache ist, dass wir zu wenig Zeit haben.",The fact is that we have too little time.,
table,A1,der,Tisch,,Möbel zum Essen oder Arbeiten,,Der Tisch ist rund.,The table is round.,
great,A1,adjective,toll,,"sehr gut, klasse",,Das ist toll.,That is great.,
total,A2,adjective,total,,ganz und gar,,Das war total verrückt.,That was totally crazy.,
meet,A1,verb,treffen,,jemandem begegnen,,Wir treffen Freunde.,We are meeting friends.,
meeting,A2,das,Treffen,,Zusammenkunft von Personen,,Beim Treffen waren zehn Personen dabei.,At the meeting there were ten people present.,
drink,A1,verb,trinken,,Flüssigkeit aufnehmen,,Ich trinke Wasser.,I drink water.,
do,A1,verb,tun,,Handlung ausführen,,Was tun wir?,What are we doing?,
convince,B2,verb,überzeugen,,jemanden mit Argumenten gewinnen,,Sie konnte ihn mit klaren Argumenten überzeugen.,She was able to convince him with clear arguments.,
calamity,C,das,Unheil,,großes Unglück oder Katastrophe,,Das politische Unheil dieser Entscheidung wird erst in Jahrzehnten sichtbar.,The political disaster of this decision will only become visible in decades.,
union,B2,die,Union,,Zusammenschluss von Staaten oder Gruppen,,Die Union der beiden Firmen schuf einen mächtigen Konzern.,The union of the two companies created a powerful corporation.,
immoral,B2,adjective,unmoralisch,,gegen moralische Regeln verstoßend,,Das Verhalten des Managers war völlig unmoralisch.,The manager’s behavior was completely immoral.,
conceal,B2,verb,verbergen,,etwas verbergen oder versteckt halten,,"Er versuchte, seine Gefühle zu verbergen.",He tried to hide his feelings.,
connect,B1,verb,verbinden,,zwei Dinge miteinander verknüpfen,,Eine Brücke verbindet zwei Stadtteile.,A bridge connects two districts.,
unite,B2,verb,vereinigen,,zu einer Einheit machen,,Die beiden Länder wollten sich politisch vereinigen.,The two countries wanted to unite politically.,
past,B1,die,Vergangenheit,,"Zeit, die vergangen ist",,Die Vergangenheit kann man nicht ändern.,The past cannot be changed.,
coping with the past,C,die,Vergangenheitsbewältigung,,Auseinandersetzung mit der nationalen Vergangenheit,,Die Vergangenheitsbewältigung bleibt ein zentraler Bestandteil der deutschen Erinnerungskultur.,Coming to terms with the past remains a central part of German memory culture.,
hurt,B1,verb,verletzen,,jemandem Schaden zufügen,,Er hat sich beim Sport am Arm verletzt.,He injured his arm while playing sports.,
eradicate,B2,verb,vernichten,,vollständig zerstören,,Das Erdbeben drohte ganze Dörfer zu vernichten.,The earthquake threatened to destroy entire villages.,
understand,A1,verb,verstehen,,"bedeuten, verstehen",,Ich verstehe dich.,I understand you.,
four,A1,numeral,vier,,Zahl nach drei,,Wir sind vier Leute.,We are four people.,
of,A1,preposition,von,,zeigt Zugehörigkeit an,,Das Buch ist von Maria.,The book is from Maria.,
"gun, weapon",B1,die,Waffe,,Instrument zum Kämpfen oder Verteidigen,,Die Polizei fand eine gefährliche Waffe.,The police found a dangerous weapon.,
true,A2,adjective,wahr,,mit der Realität übereinstimmend,,Die Aussage ist wahr.,The statement is true.,
truth,B1,die,Wahrheit,,Übereinstimmung mit der Wirklichkeit,,Die Wahrheit kam nach langer Zeit ans Licht.,The truth came to light after a long time.,
perception,B2,die,Wahrnehmung,,sinnliche oder geistige Aufnahme von Eindrücken,,Die Wahrnehmung von Zeit ist bei Kindern oft anders.,The perception of time is often different in children.,
what,A1,,was,,Fragewort für Dinge,,Was machst du?,What are you doing?,
water,A1,das,Wasser,,klare Flüssigkeit,,Das Wasser ist kalt.,The water is cold.,
wine,A1,der,Wein,,Getränk aus Trauben,,Der Wein ist gut.,The wine is good.,
white,A1,adjective,weiß,,Farbe von Schnee,,Das Papier ist weiß.,The paper is white.,
world,A2,die,Welt,,gesamter Erdkörper mit allen Menschen,,Die Welt ist groß und vielfältig.,The world is large and diverse.,
who,A1,,wer,,Fragewort für Personen,,Wer ist das?,Who is that?,
piece,B2,das,Werk,,schöpferische Arbeit oder Kunststück,,Dieses Werk des Dichters ist besonders berühmt.,This work by the poet is particularly famous.,
tool,A2,das,Werkzeug,,Hilfsmittel für handwerkliche Arbeit,,Mit diesem Werkzeug kann man Holz schneiden.,With this tool you can cut wood.,
we,A1,pronoun,wir,,erste Person Plural,,Wir gehen ins Kino.,We are going to the cinema.,
"real, true",A2,adjective,wirklich,,tatsächlich vorhanden,,Die Geschichte ist wirklich interessant.,The story is really interesting.,
know,A1,verb,wissen,,Kenntnis haben,,Ich weiß es nicht.,I don’t know.,
where,A1,,wo,,Fragewort für Ort,,Wo wohnst du?,Where do you live?,
week,A1,die,Woche,,sieben Tage,,Die Woche ist kurz.,The week is short.,
weekly,B2,adjective,wöchentlich,,jede Woche vorkommend,,Die Zeitung erscheint wöchentlich.,The newspaper is published weekly.,
want,A1,verb,wollen,,Wunsch haben,,Ich will schlafen.,I want to sleep.,
word,A1,das,Wort,,kleinste sprachliche Einheit,,Das Wort ist neu.,The word is new.,
marvellous,A2,adjective,wunderbar,,sehr schön oder ausgezeichnet,,Der Ausblick vom Berg war wunderbar.,The view from the mountain was wonderful.,
show,A1,verb,zeigen,,sichtbar machen,,Ich zeige dir das Haus.,I show you the house.,
time,A1,die,Zeit,,Ablauf von Minuten und Stunden,,Die Zeit ist knapp.,Time is short.,
point in time,B1,der,Zeitpunkt,,genauer Moment im Ablauf,,Der Zeitpunkt für die Entscheidung war ungünstig.,The timing for the decision was unfavorable.,
"corrode, decompose",C,verb,zersetzen,,von innen auflösen oder zerstören,,Korruption kann ein System langsam von innen zersetzen.,Corruption can slowly corrode a system from within.,
destroy,B2,verb,zerstören,,etwas völlig kaputt machen,,Die Bombe konnte ein ganzes Gebäude zerstören.,The bomb could destroy an entire building.,
quite,A2,adverb,ziemlich,,in hohem Maß,,Das Essen ist ziemlich teuer.,The food is quite expensive.,
cigarette,A1,die,Zigarette,,Produkt aus Tabak,,Die Zigarette ist teuer.,The cigarette is expensive.,
room,A1,das,Zimmer,,Raum in einem Gebäude,,Das Zimmer ist klein.,The room is small.,
too,A1,preposition,zu,,zeigt Richtung oder Ziel,,Ich gehe zu dir.,I’m going to you.,
train,A1,der,Zug,,Schienenfahrzeug,,Der Zug kommt.,The train is coming.,
listener,B1,der,Zuhörer,,"Person, die zuhört",,Der Zuhörer stellte am Ende eine Frage.,The listener asked a question at the end.,
tongue,A2,die,Zunge,,Organ im Mund zum Sprechen und Schmecken,,Die Zunge hilft beim Sprechen.,The tongue helps with speaking.,
state,B2,der,Zustand,,bestehende Lage oder Beschaffenheit,,Der Zustand der alten Brücke war gefährlich.,The condition of the old bridge was dangerous.,
two,A1,numeral,zwei,,Zahl nach eins,,Ich habe zwei Bücher.,I have two books.,
